seed,FUR_target,threshold,observed_DEV_FUR,DEV_segment_count,DEV_trajectory_count,novel_segment_count,heldout_trajectory_segment_count,existing_test_segment_count
84,0.05,0.2771018445491791,0.04,50,7,0,0,0
84,0.1,0.22277137637138367,0.1,50,7,0,0,0
84,0.2,0.14152070879936218,0.2,50,7,0,0,0
184,0.05,0.18883764743804932,0.04,50,7,0,0,0
184,0.1,0.1746695637702942,0.1,50,7,0,0,0
184,0.2,0.14848919212818146,0.2,50,7,0,0,0
284,0.05,0.28609633445739746,0.04,50,7,0,0,0
284,0.1,0.2574074864387512,0.1,50,7,0,0,0
284,0.2,0.20989029109477997,0.2,50,7,0,0,0
aggregate,0.05,0.5052769780158997,0.04,50,7,0,0,0
aggregate,0.1,0.3693014085292816,0.1,50,7,0,0,0
aggregate,0.2,0.31237345933914185,0.2,50,7,0,0,0
